,Age,YrsOfExp,Level,AISelect,AIComplex,AIAcc,AISent
9450,55-64,32.0,Veteran/Executive,I don't plan to use AI,Very poor,Somewhat distrust,Unfavorable
9451,35-44,14.0,Staff/Lead Developer,Weekly,"Good, but not great",Somewhat distrust,Favorable
9452,45-54,24.0,Distinguished Engineer/Fellow,I plan to use AI soon,"Good, but not great",Neither trust nor distrust,Favorable
9453,35-44,18.0,Principal,Monthly,"Good, but not great",Somewhat trust,Favorable
9454,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9455,25-34,11.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9456,35-44,18.0,Principal,Daily,"Good, but not great",Somewhat trust,Indifferent
9457,35-44,15.0,Staff/Lead Developer,Weekly,Very poor,Neither trust nor distrust,Favorable
9458,45-54,28.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat trust,Indifferent
9459,25-34,7.0,Senior Developer,I plan to use AI soon,I don't use AI for complex tasks,Neither trust nor distrust,Favorable
9460,45-54,16.0,Principal,Daily,Bad,Somewhat trust,Favorable
9461,35-44,15.0,Staff/Lead Developer,Monthly,Bad,Somewhat distrust,Indifferent
9462,35-44,9.0,Senior Developer,Daily,Bad,Highly distrust,Favorable
9463,25-34,6.0,Mid-Level Developer,Daily,Bad,Neither trust nor distrust,Favorable
9464,25-34,3.0,Junior Developer,Daily,Bad,Somewhat trust,Favorable
9465,35-44,12.0,Staff/Lead Developer,Daily,Very well,Somewhat trust,Very favorable
9466,35-44,15.0,Staff/Lead Developer,Weekly,Bad,Somewhat distrust,Favorable
9467,45-54,30.0,Distinguished Engineer/Fellow,Monthly,Very poor,Highly distrust,Indifferent
9468,18-24,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9469,25-34,8.0,Senior Developer,I plan to use AI soon,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
9470,35-44,15.0,Staff/Lead Developer,Daily,Very poor,Somewhat distrust,Favorable
9471,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
9472,18-24,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9473,35-44,17.0,Principal,Daily,Bad,Somewhat trust,Very favorable
9474,35-44,12.0,Staff/Lead Developer,Monthly,Neither good or bad,Somewhat trust,Indifferent
9475,18-24,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat distrust,Favorable
9476,25-34,7.0,Senior Developer,Monthly,I don't use AI for complex tasks,Highly distrust,Indifferent
9477,35-44,20.0,Principal,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9478,25-34,5.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
9479,18-24,8.0,Senior Developer,Monthly,Bad,Neither trust nor distrust,Favorable
9480,18-24,5.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9481,35-44,20.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9482,18-24,3.0,Junior Developer,Daily,Bad,Somewhat trust,Very unfavorable
9483,25-34,8.0,Senior Developer,Daily,Neither good or bad,Neither trust nor distrust,Indifferent
9484,45-54,27.0,Distinguished Engineer/Fellow,Monthly,Bad,Somewhat distrust,Indifferent
9485,45-54,25.0,Distinguished Engineer/Fellow,I plan to use AI soon,Bad,Somewhat distrust,Unfavorable
9486,45-54,24.0,Distinguished Engineer/Fellow,Weekly,Bad,Neither trust nor distrust,Indifferent
9487,18-24,4.0,Mid-Level Developer,Daily,Bad,Somewhat trust,Favorable
9488,45-54,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,Very poor,Highly distrust,Unfavorable
9489,35-44,14.0,Staff/Lead Developer,Weekly,Bad,Somewhat trust,Favorable
9490,35-44,26.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat trust,Favorable
9491,25-34,3.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9492,25-34,12.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
9493,35-44,10.0,Senior Developer,Monthly,Very poor,Highly distrust,Unfavorable
9494,18-24,2.0,Junior Developer,Daily,Bad,Somewhat trust,Favorable
9495,35-44,16.0,Principal,Monthly,Bad,Somewhat distrust,Favorable
9496,45-54,26.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
9497,35-44,16.0,Principal,Daily,I don't use AI for complex tasks,Somewhat trust,Favorable
9498,25-34,2.0,Junior Developer,Daily,Very well,Somewhat trust,Favorable
9499,35-44,17.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
9500,35-44,19.0,Principal,Weekly,"Good, but not great",Somewhat trust,Favorable
9501,45-54,25.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
9502,55-64,36.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Unsure
9503,18-24,3.0,Junior Developer,Daily,Very poor,Neither trust nor distrust,Very favorable
9504,18-24,8.0,Senior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
9505,>=65,40.0,Veteran/Executive,I plan to use AI soon,I don't use AI for complex tasks,Neither trust nor distrust,Unsure
9506,35-44,19.0,Principal,Daily,Very poor,Somewhat distrust,Indifferent
9507,55-64,30.0,Distinguished Engineer/Fellow,Monthly,Bad,Somewhat distrust,Unfavorable
9508,25-34,10.0,Senior Developer,Weekly,I don't use AI for complex tasks,Highly distrust,Very favorable
9509,45-54,20.0,Principal,Weekly,"Good, but not great",Somewhat trust,Favorable
9510,55-64,31.0,Veteran/Executive,Monthly,Bad,Somewhat distrust,Unfavorable
9511,25-34,4.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Indifferent
9512,25-34,3.0,Junior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
9513,35-44,20.0,Principal,Weekly,Neither good or bad,Somewhat trust,Favorable
9514,35-44,20.0,Principal,Monthly,Bad,Neither trust nor distrust,Indifferent
9515,25-34,8.0,Senior Developer,Weekly,"Good, but not great",Somewhat distrust,Very favorable
9516,25-34,4.0,Mid-Level Developer,Weekly,Bad,Neither trust nor distrust,Favorable
9517,35-44,17.0,Principal,Weekly,Very poor,Somewhat distrust,Favorable
9518,45-54,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
9519,25-34,3.0,Junior Developer,Daily,Bad,Highly distrust,Unfavorable
9520,45-54,18.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Unsure
9521,25-34,6.0,Mid-Level Developer,Monthly,Bad,Neither trust nor distrust,Unfavorable
9522,35-44,12.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
9523,55-64,30.0,Distinguished Engineer/Fellow,Daily,I don't use AI for complex tasks,Somewhat trust,Favorable
9524,45-54,14.0,Staff/Lead Developer,Daily,Very well,Highly trust,Very favorable
9525,18-24,3.0,Junior Developer,Daily,"Good, but not great",Somewhat distrust,Very favorable
9526,25-34,9.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9527,25-34,5.0,Mid-Level Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9528,35-44,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,Very poor,Somewhat distrust,Unfavorable
9529,18-24,6.0,Mid-Level Developer,Weekly,Very poor,Highly distrust,Unfavorable
9530,45-54,12.0,Staff/Lead Developer,Daily,Bad,Neither trust nor distrust,Favorable
9531,25-34,11.0,Staff/Lead Developer,Daily,Very poor,Highly distrust,Very favorable
9532,18-24,2.0,Junior Developer,Weekly,Very poor,Somewhat distrust,Very favorable
9533,55-64,32.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
9534,35-44,15.0,Staff/Lead Developer,Weekly,Bad,Somewhat trust,Favorable
9535,35-44,11.0,Staff/Lead Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
9536,45-54,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9537,25-34,5.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Indifferent
9538,25-34,8.0,Senior Developer,Weekly,Very poor,Neither trust nor distrust,Unsure
9539,25-34,12.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9540,25-34,5.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9541,45-54,20.0,Principal,Monthly,Very poor,Highly distrust,Indifferent
9542,45-54,21.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Somewhat distrust,Indifferent
9543,18-24,5.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9544,18-24,1.0,Junior Developer,Weekly,"Good, but not great",Neither trust nor distrust,Indifferent
9545,35-44,5.0,Mid-Level Developer,Monthly,"Good, but not great",Somewhat trust,Favorable
9546,25-34,5.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
9547,18-24,2.0,Junior Developer,Monthly,Very poor,Somewhat distrust,Unfavorable
9548,18-24,2.0,Junior Developer,I plan to use AI soon,Bad,Neither trust nor distrust,Indifferent
9549,35-44,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9550,25-34,5.0,Mid-Level Developer,Daily,Bad,Somewhat trust,Favorable
9551,25-34,3.0,Junior Developer,Daily,Very poor,Highly distrust,Favorable
9552,25-34,6.0,Mid-Level Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
9553,45-54,16.0,Principal,Daily,Neither good or bad,Somewhat trust,Very favorable
9554,25-34,4.0,Mid-Level Developer,Daily,Very poor,Somewhat distrust,Unfavorable
9555,35-44,10.0,Senior Developer,I don't plan to use AI,Very poor,Highly distrust,Unfavorable
9556,25-34,5.0,Mid-Level Developer,Daily,Bad,Neither trust nor distrust,Very favorable
9557,35-44,23.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat distrust,Favorable
9558,35-44,11.0,Staff/Lead Developer,Weekly,Neither good or bad,Somewhat trust,Very favorable
9559,35-44,4.0,Mid-Level Developer,Weekly,"Good, but not great",Somewhat trust,Very favorable
9560,18-24,3.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9561,25-34,4.0,Mid-Level Developer,Weekly,"Good, but not great",Highly distrust,Favorable
9562,25-34,7.0,Senior Developer,I don't plan to use AI,Very poor,Somewhat distrust,Very unfavorable
9563,25-34,2.0,Junior Developer,Weekly,Very poor,Somewhat trust,Indifferent
9564,35-44,10.0,Senior Developer,Daily,Very poor,Somewhat distrust,Favorable
9565,35-44,23.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9566,18-24,2.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
9567,35-44,15.0,Staff/Lead Developer,Weekly,I don't use AI for complex tasks,Somewhat trust,Favorable
9568,18-24,1.0,Junior Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
9569,35-44,24.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat distrust,Indifferent
9570,25-34,11.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9571,25-34,2.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
9572,55-64,35.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9573,35-44,9.0,Senior Developer,Weekly,"Good, but not great",Somewhat trust,Very favorable
9574,25-34,10.0,Senior Developer,I plan to use AI soon,I don't use AI for complex tasks,Neither trust nor distrust,Very favorable
9575,25-34,4.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat distrust,Favorable
9576,45-54,32.0,Veteran/Executive,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
9577,>=65,40.0,Veteran/Executive,Monthly,"Good, but not great",Somewhat trust,Indifferent
9578,45-54,27.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Favorable
9579,25-34,16.0,Principal,Daily,"Good, but not great",Somewhat distrust,Favorable
9580,25-34,7.0,Senior Developer,Weekly,"Good, but not great",Somewhat trust,Indifferent
9581,35-44,18.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
9582,55-64,51.0,Veteran/Executive,Monthly,Neither good or bad,Neither trust nor distrust,Favorable
9583,35-44,19.0,Principal,I don't plan to use AI,Bad,Somewhat distrust,Very unfavorable
9584,35-44,18.0,Principal,Weekly,"Good, but not great",Neither trust nor distrust,Indifferent
9585,45-54,26.0,Distinguished Engineer/Fellow,I plan to use AI soon,Very poor,Somewhat distrust,Indifferent
9586,35-44,16.0,Principal,Weekly,Neither good or bad,Somewhat trust,Favorable
9587,35-44,7.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
9588,18-24,2.0,Junior Developer,Daily,Very poor,Highly distrust,Favorable
9589,35-44,11.0,Staff/Lead Developer,Monthly,Neither good or bad,Neither trust nor distrust,Favorable
9590,25-34,7.0,Senior Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
9591,25-34,6.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Very favorable
9592,18-24,3.0,Junior Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
9593,45-54,14.0,Staff/Lead Developer,Weekly,Very poor,Highly distrust,Unfavorable
9594,25-34,9.0,Senior Developer,Weekly,Bad,Somewhat distrust,Favorable
9595,18-24,2.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9596,25-34,12.0,Staff/Lead Developer,Daily,Very poor,Neither trust nor distrust,Indifferent
9597,45-54,32.0,Veteran/Executive,Weekly,Bad,Neither trust nor distrust,Very favorable
9598,35-44,16.0,Principal,Daily,Neither good or bad,Highly trust,Very favorable
9599,25-34,4.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat distrust,Favorable
9600,35-44,20.0,Principal,Weekly,Bad,Neither trust nor distrust,Favorable
9601,25-34,11.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat distrust,Very favorable
9602,35-44,18.0,Principal,Daily,Bad,Somewhat trust,Very favorable
9603,45-54,19.0,Principal,I plan to use AI soon,Bad,Somewhat distrust,Indifferent
9604,25-34,5.0,Mid-Level Developer,Weekly,Bad,Neither trust nor distrust,Favorable
9605,25-34,5.0,Mid-Level Developer,Monthly,Bad,Somewhat distrust,Indifferent
9606,35-44,18.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
9607,35-44,23.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
9608,35-44,8.0,Senior Developer,I plan to use AI soon,Bad,Somewhat distrust,Indifferent
9609,35-44,10.0,Senior Developer,Daily,Very well,Somewhat trust,Very favorable
9610,18-24,6.0,Mid-Level Developer,Monthly,Neither good or bad,Neither trust nor distrust,Favorable
9611,35-44,12.0,Staff/Lead Developer,Monthly,"Good, but not great",Highly distrust,Unfavorable
9612,45-54,25.0,Distinguished Engineer/Fellow,Monthly,Bad,Somewhat distrust,Unsure
9613,25-34,4.0,Mid-Level Developer,I don't plan to use AI,Very poor,Somewhat distrust,Favorable
9614,35-44,23.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Indifferent
9615,25-34,7.0,Senior Developer,Weekly,Neither good or bad,Neither trust nor distrust,Very favorable
9616,25-34,7.0,Senior Developer,Daily,Bad,Somewhat distrust,Indifferent
9617,>=65,30.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
9618,35-44,14.0,Staff/Lead Developer,Daily,Bad,Neither trust nor distrust,Favorable
9619,45-54,17.0,Principal,Weekly,Bad,Highly distrust,Favorable
9620,18-24,6.0,Mid-Level Developer,Daily,Very poor,Highly distrust,Indifferent
9621,35-44,14.0,Staff/Lead Developer,Weekly,Very poor,Highly distrust,Indifferent
9622,45-54,22.0,Distinguished Engineer/Fellow,Monthly,Bad,Somewhat distrust,Indifferent
9623,25-34,3.0,Junior Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
9624,35-44,15.0,Staff/Lead Developer,Daily,Bad,Neither trust nor distrust,Very favorable
9625,25-34,6.0,Mid-Level Developer,Daily,Bad,Highly distrust,Unfavorable
9626,55-64,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
9627,35-44,14.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9628,55-64,36.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9629,18-24,8.0,Senior Developer,Daily,Very poor,Somewhat trust,Favorable
9630,45-54,24.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Neither trust nor distrust,Indifferent
9631,18-24,3.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9632,25-34,5.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9633,25-34,6.0,Mid-Level Developer,Weekly,Very well,Highly trust,Favorable
9634,25-34,4.0,Mid-Level Developer,Monthly,Bad,Somewhat distrust,Indifferent
9635,25-34,16.0,Principal,Daily,Bad,Somewhat distrust,Very favorable
9636,25-34,6.0,Mid-Level Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
9637,18-24,2.0,Junior Developer,Daily,Neither good or bad,Somewhat distrust,Favorable
9638,18-24,4.0,Mid-Level Developer,Weekly,Neither good or bad,Somewhat distrust,Indifferent
9639,25-34,8.0,Senior Developer,Daily,Very poor,Highly distrust,Indifferent
9640,18-24,5.0,Mid-Level Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
9641,45-54,27.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat trust,Favorable
9642,25-34,9.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
9643,55-64,38.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unsure
9644,18-24,5.0,Mid-Level Developer,Daily,Bad,Somewhat trust,Favorable
9645,35-44,13.0,Staff/Lead Developer,Daily,Very well,Somewhat trust,Very favorable
9646,25-34,10.0,Senior Developer,Daily,Very well,Neither trust nor distrust,Very favorable
9647,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
9648,35-44,16.0,Principal,Weekly,Bad,Highly distrust,Indifferent
9649,25-34,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9650,18-24,5.0,Mid-Level Developer,Weekly,Very poor,Somewhat distrust,Indifferent
9651,55-64,35.0,Veteran/Executive,Weekly,"Good, but not great",Somewhat trust,Favorable
9652,25-34,2.0,Junior Developer,Daily,Bad,Somewhat distrust,Favorable
9653,55-64,30.0,Distinguished Engineer/Fellow,Monthly,"Good, but not great",Somewhat trust,Indifferent
9654,35-44,17.0,Principal,Daily,Neither good or bad,Somewhat distrust,Favorable
9655,35-44,16.0,Principal,Weekly,Very poor,Neither trust nor distrust,Favorable
9656,35-44,13.0,Staff/Lead Developer,Monthly,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
9657,25-34,4.0,Mid-Level Developer,Weekly,"Good, but not great",Somewhat distrust,Favorable
9658,25-34,10.0,Senior Developer,Monthly,Bad,Somewhat distrust,Unfavorable
9659,18-24,2.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Indifferent
9660,35-44,16.0,Principal,Weekly,"Good, but not great",Somewhat trust,Favorable
9661,18-24,4.0,Mid-Level Developer,Daily,Bad,Neither trust nor distrust,Favorable
9662,35-44,7.0,Senior Developer,Daily,Very poor,Somewhat distrust,Very favorable
9663,25-34,16.0,Principal,Daily,Very poor,Somewhat distrust,Very unfavorable
9664,25-34,2.0,Junior Developer,Weekly,Bad,Somewhat distrust,Indifferent
9665,35-44,20.0,Principal,Monthly,"Good, but not great",Somewhat trust,Very favorable
9666,25-34,7.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9667,25-34,12.0,Staff/Lead Developer,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
9668,25-34,1.0,Junior Developer,Daily,Bad,Somewhat distrust,Favorable
9669,35-44,13.0,Staff/Lead Developer,Weekly,Very poor,Highly distrust,Indifferent
9670,18-24,2.0,Junior Developer,Monthly,"Good, but not great",Somewhat trust,Indifferent
9671,45-54,25.0,Distinguished Engineer/Fellow,I plan to use AI soon,I don't use AI for complex tasks,Neither trust nor distrust,Unfavorable
9672,25-34,13.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9673,25-34,5.0,Mid-Level Developer,Daily,Very poor,Highly distrust,Unsure
9674,25-34,2.0,Junior Developer,Monthly,Bad,Somewhat distrust,Favorable
9675,55-64,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Unfavorable
9676,25-34,3.0,Junior Developer,Daily,Very poor,Somewhat distrust,Favorable
9677,25-34,7.0,Senior Developer,Monthly,Bad,Highly distrust,Indifferent
9678,35-44,9.0,Senior Developer,Daily,Bad,Somewhat distrust,Favorable
9679,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unsure
9680,35-44,14.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9681,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
9682,45-54,20.0,Principal,Weekly,Bad,Somewhat trust,Favorable
9683,25-34,9.0,Senior Developer,Monthly,Neither good or bad,Neither trust nor distrust,Favorable
9684,35-44,24.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Very favorable
9685,55-64,35.0,Veteran/Executive,Monthly,I don't use AI for complex tasks,Somewhat trust,Indifferent
9686,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
9687,55-64,33.0,Veteran/Executive,I don't plan to use AI,Bad,Somewhat distrust,Very unfavorable
9688,35-44,17.0,Principal,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9689,45-54,5.0,Mid-Level Developer,Daily,Very well,Somewhat trust,Very favorable
9690,25-34,4.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9691,25-34,10.0,Senior Developer,Daily,Bad,Somewhat distrust,Favorable
9692,55-64,36.0,Veteran/Executive,Daily,Neither good or bad,Somewhat trust,Very favorable
9693,25-34,6.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9694,55-64,28.0,Distinguished Engineer/Fellow,Weekly,Very poor,Somewhat distrust,Favorable
9695,35-44,16.0,Principal,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9696,25-34,5.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat trust,Favorable
9697,45-54,25.0,Distinguished Engineer/Fellow,Daily,Very well,Somewhat trust,Very favorable
9698,25-34,8.0,Senior Developer,Daily,Bad,Somewhat trust,Very favorable
9699,55-64,35.0,Veteran/Executive,I plan to use AI soon,I don't use AI for complex tasks,Somewhat distrust,Indifferent
9700,25-34,4.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Indifferent
9701,25-34,2.0,Junior Developer,Daily,Bad,Somewhat distrust,Unfavorable
9702,25-34,9.0,Senior Developer,Daily,Bad,Somewhat trust,Favorable
9703,18-24,2.0,Junior Developer,Daily,Bad,Somewhat trust,Very favorable
9704,55-64,42.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
9705,25-34,3.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9706,25-34,4.0,Mid-Level Developer,I plan to use AI soon,Very poor,Highly distrust,Indifferent
9707,18-24,10.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
9708,25-34,10.0,Senior Developer,Monthly,"Good, but not great",Somewhat trust,Favorable
9709,18-24,1.0,Junior Developer,Weekly,Neither good or bad,Neither trust nor distrust,Very favorable
9710,25-34,2.0,Junior Developer,Daily,Bad,Somewhat trust,Favorable
9711,45-54,26.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
9712,25-34,9.0,Senior Developer,Monthly,I don't use AI for complex tasks,Highly distrust,Unfavorable
9713,25-34,7.0,Senior Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
9714,25-34,4.0,Mid-Level Developer,I don't plan to use AI,Very poor,Highly distrust,Unfavorable
9715,55-64,39.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
9716,35-44,10.0,Senior Developer,Daily,Neither good or bad,Somewhat distrust,Favorable
9717,25-34,4.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
9718,45-54,25.0,Distinguished Engineer/Fellow,I plan to use AI soon,Very poor,Somewhat distrust,Unsure
9719,25-34,9.0,Senior Developer,Monthly,Neither good or bad,Neither trust nor distrust,Favorable
9720,45-54,31.0,Veteran/Executive,Daily,Bad,Somewhat trust,Favorable
9721,18-24,4.0,Mid-Level Developer,Daily,Very poor,Neither trust nor distrust,Very favorable
9722,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9723,25-34,3.0,Junior Developer,Monthly,Bad,Neither trust nor distrust,Favorable
9724,25-34,8.0,Senior Developer,Monthly,Bad,Somewhat distrust,Indifferent
9725,35-44,10.0,Senior Developer,Daily,Bad,Somewhat distrust,Unfavorable
9726,25-34,11.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
9727,35-44,14.0,Staff/Lead Developer,Weekly,Neither good or bad,Somewhat trust,Favorable
9728,45-54,34.0,Veteran/Executive,Weekly,Neither good or bad,Somewhat distrust,Unfavorable
9729,25-34,11.0,Staff/Lead Developer,Weekly,Very poor,Somewhat distrust,Unfavorable
9730,25-34,7.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Favorable
9731,35-44,12.0,Staff/Lead Developer,Monthly,Bad,Somewhat distrust,Favorable
9732,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9733,25-34,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9734,25-34,5.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
9735,55-64,35.0,Veteran/Executive,Daily,Bad,Somewhat distrust,Very favorable
9736,18-24,1.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9737,18-24,5.0,Mid-Level Developer,I don't plan to use AI,Very poor,Somewhat distrust,Very unfavorable
9738,25-34,6.0,Mid-Level Developer,Weekly,Very poor,Somewhat distrust,Favorable
9739,25-34,2.0,Junior Developer,Monthly,Very poor,Highly distrust,Unfavorable
9740,25-34,4.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Favorable
9741,18-24,1.0,Junior Developer,Monthly,Very poor,Highly distrust,Unsure
9742,18-24,1.0,Junior Developer,I don't plan to use AI,Bad,Somewhat distrust,Favorable
9743,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
9744,35-44,25.0,Distinguished Engineer/Fellow,Monthly,Very poor,Somewhat distrust,Unfavorable
9745,>=65,47.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
